"Index","PostId","TaskId","Title","Description","Tags","Status","Timestamp"
"1","post_1768646013991","mock_20260120175549_3387","Игра 3D c локацей и PvP режимом для Telegram Mini Apps Для игры в Telegram Mini Apps нужно создать... [#1]","Игра 3D c локацей и PvP режимом для Telegram Mini Apps Для игры в Telegram Mini Apps нужно создать статичную локацию с...","automation,development,freelance,gamedev,telegram","created","17:55:49"
"2","post_1768646013991","mock_20260120175550_6312","Разработка программного обеспечения Есть полный алгоритм, код написанный в Python, необходимо... [#2]","Разработка программного обеспечения Есть полный алгоритм, код написанный в Python, необходимо разработать программу с...","automation,development,freelance,python,telegram","created","17:55:50"
"3","post_1768646013991","mock_20260120175552_2039","HTML файл выложить на сервер через питон Есть HTML файл. полный дизайн с наличием тестовых... [#3]","HTML файл выложить на сервер через питон Есть HTML файл. полный дизайн с наличием тестовых данных.нужно выложить файл...","design,development,freelance,frontend,javascript,python","created","17:55:52"
"4","post_1768646013991","mock_20260120175553_2374","Удалить фото из iPhone 17 Ситуация такая:Хотели всю информацию из айфона, перенести на компьютер!... [#4]","Удалить фото из iPhone 17 Ситуация такая:Хотели всю информацию из айфона, перенести на компьютер! Все фотки!Потом...","development,freelance,testing","created","17:55:53"
"5","post_1768646013991","mock_20260120175554_6285","Автоматическое обновление прокси нужно настроить автоматическое обновление ip в антидетекте — если... [#5]","Автоматическое обновление прокси нужно настроить автоматическое обновление ip в антидетекте — если предыдущий перестал...","automation,development,freelance,gamedev,telegram","created","17:55:54"
"6","post_1768646013992","mock_20260120175556_1429","Нужен сайт корпоротивный ТЗ смотрите Здравствуйте, нужен сайт однастраничный для корпоративный -... [#6]","Нужен сайт корпоротивный ТЗ смотрите Здравствуйте, нужен сайт однастраничный для корпоративный - смысл: Nomad Pays —...","automation,design,development,freelance,javascript,seo","created","17:55:56"
"7","post_1768646013992","mock_20260120175557_5068","Подправить сайт на Next Js + Nest js + MySQl на vps Сайт с админкой размещен в докере на VPS с... [#7]","Подправить сайт на Next Js + Nest js + MySQl на vps Сайт с админкой размещен в докере на VPS с настройкой автодеплой...","automation,database,development,devops,freelance,javascript","created","17:55:57"
"8","post_1768646013992","mock_20260120175559_7651","Внедрить бонусную систеу по апи в вукомерц Ссылка на документацию сервиса. бонусная программа, есть... [#8]","Внедрить бонусную систеу по апи в вукомерц Ссылка на документацию сервиса. бонусная программа, есть апи, нужно...","automation,development,devops,freelance,telegram,web","created","17:55:59"
"9","post_1768646013992","mock_20260120175600_2251","Настройка парсера у меня есть парсер который открывает определенный хром аккаунт , нажимает по... [#9]","Настройка парсера у меня есть парсер который открывает определенный хром аккаунт , нажимает по расширению и по кнопки...","automation,design,development,devops,freelance,parsing","created","17:56:00"
"10","post_1768646013993","mock_20260120175601_8435","Доработать один раздел на битрикс сверстать с натянуть на битрикс один раздел.старый сайт ( тоже на... [#10]","Доработать один раздел на битрикс сверстать с натянуть на битрикс один раздел.старый сайт ( тоже на битрикс)контент...","automation,design,development,freelance,frontend,php","created","17:56:01"
"11","post_1768646013993","mock_20260120175603_3288","Интеграция API Доброго дня, коллеги.Если есть среди вас опытные интеграторы API систем на питоне... [#11]","Интеграция API Доброго дня, коллеги.Если есть среди вас опытные интеграторы API систем на питоне напишите в ЛС.Есть...","api,automation,development,freelance,python,telegram","created","17:56:03"
"12","post_1768646013993","mock_20260120175604_7870","Верстка макета с figma Привет. Надо постараться за выходные сверстать макет сайта....Проект дам... [#12]","Верстка макета с figma Привет. Надо постараться за выходные сверстать макет сайта....Проект дам только исполнителю в...","design,development,freelance,frontend,web","created","17:56:04"
"13","post_1768646013993","mock_20260120175605_1572","Поднять DNS Nba2k26 PS5 не работает с провайдера dom.ru в Москве.Вопрос решался сменой DNS и... [#13]","Поднять DNS Nba2k26 PS5 не работает с провайдера dom.ru в Москве.Вопрос решался сменой DNS и часового пояса. Вчера...","automation,development,freelance,gamedev,telegram","created","17:56:05"
"14","post_1768646013993","mock_20260120175607_5186","Ускорить HTML до 90+ по Google Page Speed Необходимо привести в порядок код главной страницы и... [#14]","Ускорить HTML до 90+ по Google Page Speed Необходимо привести в порядок код главной страницы и добиться всех стабильных...","automation,development,devops,freelance,frontend,seo","created","17:56:07"
"15","post_1768646013993","mock_20260120175608_1757","Собрать одну страницу на WP Elementor Pro Собрать одну страницу на WP Elementor Pro.Лицензионный WP... [#15]","Собрать одну страницу на WP Elementor Pro Собрать одну страницу на WP Elementor Pro.Лицензионный WP Elementor Pro уже...","automation,development,freelance,php,telegram,web","created","17:56:08"
